Frac	Delay	Mean	Mean_sigma	FWHM	FWHM_sigma	Kurtosis	Kurtosis_sigma
0.2	8.25	159998	49.8737	12384	1817.91	57.231	0.031447
0.2	8.5	159993	49.8682	14364	1204.25	56.8999	0.031447
0.2	8.75	159989	49.8732	13860	1337.5	56.9614	0.031447
0.2	9	159983	49.9695	14004	1210.69	56.9824	0.0314464
0.2	9.25	159980	49.9675	13464	1411.21	57.0101	0.0314464
0.2	9.5	159977	49.9752	12312	1506.27	57.0958	0.0314464
0.2	9.75	159975	49.9833	13392	1411.21	57.1824	0.0314464
0.2	10	159967	50.425	13356	1516.14	62.3232	0.0314457
0.3	1	122311	312.842	20088	8826.1	-0.156949	0.0315309
0.3	1.25	146484	210.199	9432	3586.17	2.46585	0.0314795
0.3	1.5	159789	53.7837	12456	1587.27	62.7025	0.0314496
0.3	1.75	159913	50.4243	13176	1940	57.1717	0.0314477
0.3	2	159963	50.4539	12312	1528.76	61.2217	0.0314451
0.3	2.25	160002	50.2419	15120	1330.86	61.0709	0.0314457
0.3	2.5	160030	50.2729	13392	1474.39	60.875	0.0314457
0.3	2.75	160066	50.1083	12528	1381.51	62.9105	0.0314464
0.3	3	160076	50.2879	12240	1667.18	63.2342	0.0314457
0.3	3.25	160095	49.9988	14400	1730.5	62.5823	0.031447
0.3	3.5	160102	49.998	12960	1769.75	62.5357	0.031447
0.3	3.75	160108	49.9983	12168	1585.36	62.4956	0.031447
0.3	4	160104	50.2761	13716	1143.15	62.7044	0.0314457
0.3	4.25	160119	49.7001	13104	971.778	58.0769	0.031447
0.3	4.5	160120	49.7038	12708	1253.47	58.0257	0.031447
0.3	4.75	160120	49.7063	13176	1381.82	58	0.031447
0.3	5	160123	50.3282	12708	1575.93	66.1261	0.0314457
0.3	5.25	160117	49.7007	14292	984.805	57.7533	0.031447
0.3	5.5	160114	49.7033	12096	1620.93	57.7642	0.031447
0.3	5.75	160120	49.7496	13464	1193.62	58.4794	0.031447
0.3	6	160104	50.3265	13860	1600.95	63.0835	0.0314457
0.3	6.25	160111	49.8534	13212	1548.84	58.2098	0.031447
0.3	6.5	160112	49.7045	12672	1501.68	57.3764	0.031447
0.3	6.75	160110	49.8705	12888	1410.91	57.8096	0.0314464
0.3	7	160107	50.6537	13320	1588.36	69.0698	0.0314451
0.3	7.25	160107	49.7908	13824	1312.23	64.4215	0.0314477
0.3	7.5	160086	50.0573	12348	1427.5	66.0185	0.0314477
0.3	7.75	160081	50.0587	12168	1769.75	66.0032	0.0314477
0.3	8	160069	50.4434	12096	1738.22	70.7306	0.031447
0.3	8.25	160072	50.0172	12996	1513.86	66.1164	0.0314477
0.3	8.5	160059	49.984	11772	1578.13	65.6325	0.0314477
0.3	8.75	160074	49.8204	12780	1543.25	64.8103	0.0314477
0.3	9	160083	50.1459	11736	1310.91	64.4483	0.0314464
0.3	9.25	160078	50.1009	11772	1838.59	68.1318	0.031447
0.3	9.5	160070	50.2878	12132	1165.61	69.1616	0.031447
0.3	9.75	160069	50.2867	12024	1134.62	69.1629	0.031447
0.3	10	160062	50.7096	12564	1268.54	73.5428	0.0314464
0.4	1	146955	211.149	11088	2094.4	2.68591	0.0314704
0.4	1.25	159875	50.9715	12924	1800.12	61.6792	0.031449
0.4	1.5	159976	49.824	15156	1355.47	55.8026	0.0314464
0.4	1.75	160029	49.7214	12312	1352.44	55.1573	0.0314464
0.4	2	160051	50.3305	14004	1413.51	60.4242	0.0314451
0.4	2.25	160084	49.791	13464	1330.86	58.201	0.0314464
0.4	2.5	160100	49.7834	12960	1610.24	58.2013	0.0314464
0.4	2.75	160105	50.1472	14076	1077.8	61.9599	0.0314457
0.4	3	160116	49.9457	11520	1798.56	58.2644	0.0314457
0.4	3.25	160130	49.6692	13248	1134.62	57.8763	0.031447
0.4	3.5	160134	49.6684	13068	1455.07	57.8497	0.031447
0.4	3.75	160149	49.833	13644	939.915	61.1103	0.031447
0.4	4	160143	50.1134	13212	1718.1	61.3492	0.0314457
0.4	4.25	160155	49.5284	12780	1522.39	56.4203	0.031447
0.4	4.5	160154	49.5289	11844	1607.42	56.3813	0.031447
0.4	4.75	160153	49.5292	11880	1594.06	56.3481	0.031447
0.4	5	160155	50.1596	12456	1352.12	64.844	0.0314457
0.4	5.25	160147	49.5302	12960	1911.51	56.356	0.031447
0.4	5.5	160151	49.727	14076	1808.26	58.1836	0.031447
0.4	5.75	160147	49.7315	12996	1396.29	58.1533	0.031447
0.4	6	160132	50.3465	13212	1490.27	62.6092	0.0314457
0.4	6.25	160145	49.7424	13968	1301.65	56.9176	0.031447
0.4	6.5	160140	49.7452	13644	1245.17	56.937	0.031447
0.4	6.75	160130	49.9203	15084	985.681	57.0543	0.0314464
0.4	7	160126	50.7858	13212	1077.8	69.307	0.0314451
0.4	7.25	160124	50.0867	12348	1339.44	64.5628	0.031447
0.4	7.5	160120	50.0868	11808	1564.79	64.4906	0.031447
0.4	7.75	160116	50.0858	12672	1222.59	64.4574	0.031447
0.4	8	160097	50.6064	12564	1317.98	69.875	0.0314464
0.4	8.25	160101	50.1851	14544	1134.62	65.3592	0.031447
0.4	8.5	160098	50.139	13356	1043.59	65.3909	0.031447
0.4	8.75	160096	50.14	13644	1341.37	65.3951	0.031447
0.4	9	160110	50.2947	14004	874.19	64.7968	0.0314464
0.4	9.25	160113	50.0896	13356	1043.59	67.2773	0.031447
0.4	9.5	160114	50.1294	14508	1255.53	67.1292	0.031447
0.4	9.75	160113	50.13	12852	1312.07	67.166	0.031447
0.4	10	160099	50.7445	12024	1272.45	72.7082	0.0314464
0.5	1	160065	56.7374	10800	1841.29	55.9199	0.0314464
0.5	1.25	160053	50.3023	13572	1413.51	70.5768	0.031447
0.5	1.5	160110	49.8982	12240	1683.43	65.9611	0.031447
0.5	1.75	160141	49.9015	13644	1409.22	66.1317	0.031447
0.5	2	160147	49.6105	13212	1455.66	52.539	0.0314451
0.5	2.25	160150	49.7272	13356	1425.68	63.186	0.031447
0.5	2.5	160159	49.7565	12600	1658.87	62.9407	0.0314464
0.5	2.75	160160	50.1116	12420	1779.85	66.1204	0.0314457
0.5	3	160159	49.524	12600	1301.65	54.4625	0.0314444
0.5	3.25	160158	49.0985	12384	1211.94	52.9172	0.0314464
0.5	3.5	160160	49.0971	12780	1519.55	52.8654	0.0314464
0.5	3.75	160162	49.0982	13068	1650.38	52.7813	0.0314464
0.5	4	160161	49.5054	14904	1064.69	54.1953	0.0314444
0.5	4.25	160179	49.1053	13896	1296.33	51.6999	0.0314464
0.5	4.5	160181	49.2637	13680	1381.51	53.567	0.031447
0.5	4.75	160180	49.1293	14616	1314.53	52.8941	0.031447
0.5	5	160188	50.0497	14184	1367.68	62.8474	0.0314444
0.5	5.25	160185	49.5725	14184	1118.51	60.7594	0.031447
0.5	5.5	160181	49.5704	12816	1441.2	60.7022	0.031447
0.5	5.75	160184	49.7599	12996	1384.48	62.3464	0.031447
0.5	6	160171	50.0419	12996	1396.91	56.9866	0.0314451
0.5	6.25	160172	50.0133	13176	1352.12	65.5719	0.0314464
0.5	6.5	160165	50.3374	12708	1314.7	66.6441	0.0314457
0.5	6.75	160159	50.2432	13320	1650.25	63.4817	0.0314457
0.5	7	160166	51.1982	14040	1205.51	75.0259	0.0314444
0.5	7.25	160161	51.3299	11088	1668.22	86.0043	0.0314457
0.5	7.5	160157	51.3255	12744	1367.68	85.9243	0.0314457
0.5	7.75	160154	51.2343	13104	1118.51	83.2495	0.0314457
